--------- beginning of main
--------- beginning of system
---------------------------- PROCESS STARTED (3122) for package com.example.financialapp ----------------------------
2025-07-08 16:48:55.320  3122-3122  nativeloader            com.example.financialapp             D  Configuring clns-9 for other apk /data/app/~~g9KuHgextp0uMfXVhXadCg==/com.example.financialapp-0TSoet5GBlSZjrpF17cpDg==/base.apk. target_sdk_version=35, uses_libraries=, library_path=/data/app/~~g9KuHgextp0uMfXVhXadCg==/com.example.financialapp-0TSoet5GBlSZjrpF17cpDg==/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.example.financialapp
2025-07-08 16:48:57.099  3122-3122  Repository              com.example.financialapp             D  更新后 - 工资项: 2个, 总工资: 0.0, 社保: 0.0, 公积金: 0.0
2025-07-08 16:48:57.099  3122-3122  Repository              com.example.financialapp             D  切换到2025年7月
2025-07-08 16:48:57.102  3122-3122  MainActivity            com.example.financialapp             D  当前Fragment数量: 1
2025-07-08 16:48:57.102  3122-3122  MainActivity            com.example.financialapp             D  Fragment类型: HomeFragment
2025-07-08 16:48:57.102  3122-3122  MainActivity            com.example.financialapp             D  月份切换到2025年7月
2025-07-08 16:48:57.107  3122-3122  Choreographer           com.example.financialapp             I  Skipped 37 frames!  The application may be doing too much work on its main thread.
2025-07-08 16:48:57.189  3122-3139  HWUI                    com.example.financialapp             I  Davey! duration=701ms; Flags=0, FrameTimelineVsyncId=9354, IntendedVsync=73819374597, Vsync=74436041239, InputEventId=0, HandleInputStart=74449272512, AnimationStart=74449275979, PerformTraversalsStart=74458945746, DrawStart=74459208848, FrameDeadline=74486041237, FrameStartTime=74438996846, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=74494072121, SyncStart=74494160888, IssueDrawCommandsStart=74494368968, SwapBuffers=74497738209, FrameCompleted=74520977250, DequeueBufferDuration=4614, QueueBufferDuration=552934, GpuCompleted=74520977250, SwapBuffersCompleted=74506440911, DisplayPresentTime=0, CommandSubmissionCompleted=74497738209, 
2025-07-08 16:48:57.241  3122-3122  Repository              com.example.financialapp             D  锚点系统：月份切换到2025年7月，不自动创建记录
2025-07-08 16:48:57.246  3122-3122  Repository              com.example.financialapp             D  更新显示值，当前月份: 2025-07
2025-07-08 16:48:57.247  3122-3122  Repository              com.example.financialapp             D  获取2025年7月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.247  3122-3122  Repository              com.example.financialapp             D  更新前 - 工资项: 2个, 总工资: 0.0, 社保: 0.0, 公积金: 0.0
2025-07-08 16:48:57.248  3122-3122  Repository              com.example.financialapp             D  更新后 - 工资项: 2个, 总工资: 0.0, 社保: 0.0, 公积金: 0.0
2025-07-08 16:48:57.248  3122-3122  Repository              com.example.financialapp             D  切换到2025年7月
2025-07-08 16:48:57.486  3122-3122  InsetsController        com.example.financialapp             D  hide(ime(), fromIme=false)
2025-07-08 16:48:57.486  3122-3122  ImeTracker              com.example.financialapp             I  com.example.financialapp:8269ff7b: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2025-07-08 16:48:57.551  3122-3264  Repository              com.example.financialapp             D  获取2025年7月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年1月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年2月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年3月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年4月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年5月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.552  3122-3264  Repository              com.example.financialapp             D  获取2025年6月设置: 工资=0.0, 来源=无记录
2025-07-08 16:48:57.553  3122-3264  Repository              com.example.financialapp             D  获取2025年7月设置: 工资=0.0, 来源=无记录
